air_mass_coeff,ALB,amb_e,amb_e_sat,batt_volt,e_amb,e_sat_amb,V_batt,Bowen_ratio,CO2_density,CO2_density_SIGMA,CO2_sig_strgth_Min,cs65x_ec_1_1_1,cs65x_ec_1_1_2,cs65x_ec_1_1_3,cs65x_ec_1_1_4,cs65x_ec_1_1_5,daytime,Duty_cycle_TS100_Fan_Avg,e,e_probe,e_sat,e_sat_probe,energy_closure,ET,FC_mass,FC_QC,FC_samples,FETCH_40,FETCH_55,FETCH_90,FETCH_MAX,FP_DIST_INTRST,FP_EQUATION,Freq_tach_TS100_Avg,FW,FW_SIGMA,G,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_plate_1_1_1,G_plate_2_1_1,G_plate_3_1_1,G_plate_4_1_1,G_plate_5_1_1,H,H_FW,H_FW_samples,H_QC,H_samples,H2O_density,H2O_density_probe,H2O_density_SIGMA,H2O_probe,H2O_sig_strgth_Min,hour_angle,TS_CS65X_1_1_1,TS_CS65X_1_1_2,TS_CS65X_1_1_3,TS_CS65X_1_1_4,TS_CS65X_1_1_5,hydra1_temp,hydra2_temp,hydra3_temp,hydra4_temp,hydra5_temp,LE,LE_QC,LE_samples,LW_IN,LW_IN_meas,LW_OUT,LW_OUT_meas,NETRAD,P,P_Tot,PA,poor_energy_closure_flg,poor_enrg_clsur,R_LW_in_meas,R_LW_out_meas,RECORD,RH_1_1_1,RH_1_1_2,RH_1_1_3,RH_2_1_1,RH_3_1_1,SG_1_1_1,SG_2_1_1,SG_3_1_1,SG_4_1_1,SG_5_1_1,shf_plate_cal,shfp_cal_1_1_1,shfp_cal_2_1_1,Site,SoilWater_1,SoilWater_2,SoilWater_3,SoilWater_4,SoilWater_5,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWC_4_1_1,SWC_5_1_1,sonic_azimuth,sun_azimuth,sun_declination,sun_elevation,SW_IN,SW_OUT,T_CANOPY,T_DP_1_1_1,T_DP_1_1_2,T_DP_1_1_3,T_DP_2_1_1,T_DP_3_1_1,T_nr,T_nr_Avg,T_nr_in,T_nr_out,T_SI111_body,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TA_1_1_2,TA_1_1_3,TA_2_1_1,TA_3_1_1,TAU,TAU_QC,TIMESTAMP,TKE,TS_1,TS_2,TS1_2cm,TS1_6cm,TS2_2cm,TS2_6cm,TS3_2cm,TS3_6cm,TS4_2cm,TS4_6cm,TS5_2cm,TS5_6cm,TSTAR,UPWND_DIST_INTRST,USTAR,Ux,Ux_SIGMA,Uy,Uy_SIGMA,Uz,Uz_SIGMA,VPD,WD,WD_SIGMA,WD_SONIC,WS,WS_MAX,WS_RSLT
0,0,0,0,10,0,0,10,-250,600,0,0.5,0,0,0,0,0,-1,0.5,-0.5,0,0,-1,-10,-1,-2,0,34000,-100,-100,-100,-100,0,0,-1,-60,-5,-100,-200,-200,-200,-200,-200,-100,-100,-100,-100,-100,-150,-500,34000,0,34000,0,0,-0.5,0,0.5,-200,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-100,0,34000,200,-150,300,-40,-200,-0.1,-0.1,98,0,0,-150,-30,0,0,0,0,0,0,-200,-200,-200,-200,-200,10,10,10,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-100,0,-30,-80,-20,-20,0,-20,-1,-20,-1,-20,200,200,200,200,0,0,-0.5,-10,-10,-10,-10,-10,-0.5,0,0,-1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-1.5,0,-1.5,-6,-1,-5,-1,-5,-1,-10,-20,-10,-50,-5,-5,-5
40,40,3,10,15,3,10,15,250,1000,20,1,2,2,2,2,2,2,2,3,5,6,10,10,2,2,10,38000,8000,8000,20000,2000,300,1,3,100,10,250,500,500,500,500,500,250,250,250,250,250,450,1000,38000,10,38000,15,15,1,30,1,200,60,60,60,60,60,60,60,60,60,60,400,10,38000,550,0,650,30,1000,4,4,104,1,1,0,30,15000,120,120,120,120,120,500,500,500,500,500,20,20,20,1,50,50,50,50,50,50,50,50,50,50,400,350,30,80,1200,300,50,40,20,50,20,50,400,400,400,400,50,60,5,50,50,50,50,50,5,10,1,10,60,60,60,60,60,60,60,60,60,60,60,60,1.5,1000,2,6,5,5,5,5,5,50,400,100,400,15,15,15
