Bowen_ratio,CO2_density,CO2_density_SIGMA,CO2_sig_strgth_Min,e,e_probe,e_sat,e_sat_probe,energy_closure,energy_closure,FC_mass,FC_samples,FETCH_40,FETCH_55,FETCH_90,FETCH_MAX,FP_DIST_INTRST,G,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_plate_1_1_1,G_plate_2_1_1,G_plate_3_1_1,G_plate_4_1_1,G_plate_5_1_1,H,H_samples,H2O_density,H2O_density_SIGMA,H2O_sig_strgth_Min,LE,LE_samples,LW_IN,LW_OUT,NETRAD,RH_1_1_1,SG_1_1_1,SG_2_1_1,SG_3_1_1,SG_4_1_1,SG_5_1_1,SW_IN,SW_OUT,T_CANOPY,T_DP_1_1_1,T_SI111_body,T_SONIC,T_SONIC_SIGMA,TA_1_1_1,TAU,TKE,TS1_2cm,TS1_6cm,TS2_2cm,TS2_6cm,TS3_2cm,TS3_6cm,TS4_2cm,TS4_6cm,TS5_2cm,TS5_6cm,TSTAR,USTAR,Ux,Ux_SIGMA,Uy,Uy_SIGMA,Uz,Uz_SIGMA,V_batt,VPD,WD,WD_SIGMA,WD_SONIC,WS,WS_MAX,WS_RSLT
Irgason,Irgason,Irgason,Irgason,Irgason,Asperated Shield,Irgason,Asperated Shield,Irgason,Net Radiometer,Irgason,Irgason,Misc,Misc,Misc,Misc,Misc,Soil Heat Flux Plates,Soil Moisture Probes,Soil Moisture Probes,Soil Moisture Probes,Soil Moisture Probes,Soil Moisture Probes,Soil Heat Flux Plates,Soil Heat Flux Plates,Soil Heat Flux Plates,Soil Heat Flux Plates,Soil Heat Flux Plates,Sonic Anemometer,Irgason,Irgason,Irgason,Irgason,Irgason,Irgason,Net Radiometer,Net Radiometer,Net Radiometer,EC100,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Net Radiometer,Net Radiometer,IRT Sensor,EC100,IRT Sensor,Sonic Anemometer,Sonic Anemometer,EC100,Sonic Anemometer,Sonic Anemometer,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Soil Thermocouple,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Misc,Asperated Shield,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer,Sonic Anemometer
